transaction_id,user_id,payee,amount,date,day_of_week,category,family_size,has_children
txn_0000001,user_0001,DOMINOS #2894,12.98,2024-01-13,Saturday,Dining Out,3,1
txn_0000002,user_0001,DOORDASH*6GBPS3,56.2,2024-01-13,Saturday,Dining Out,3,1
txn_0000003,user_0001,OLIVE GARDEN #4228,21.96,2024-01-15,Monday,Dining Out,3,1
txn_0000004,user_0001,PANERA BREAD #8066,56.85,2024-01-20,Saturday,Dining Out,3,1
txn_0000005,user_0001,STARBUCKS #97062,48.63,2024-01-20,Saturday,Dining Out,3,1
txn_0000006,user_0001,PANERA BREAD #6143,15.87,2024-02-05,Monday,Dining Out,3,1
txn_0000007,user_0001,OLIVE GARDEN #3041,22.92,2024-02-25,Sunday,Dining Out,3,1
txn_0000008,user_0001,APPLEBEES #5920,18.95,2024-02-25,Sunday,Dining Out,3,1
txn_0000009,user_0001,DOMINOS #6067,26.33,2024-02-29,Thursday,Dining Out,3,1
txn_0000010,user_0001,OLIVE GARDEN #7691,45.56,2024-03-20,Wednesday,Dining Out,3,1
txn_0000011,user_0001,PANERA BREAD #7592,54.79,2024-03-22,Friday,Dining Out,3,1
txn_0000012,user_0001,APPLEBEES #5844,35.4,2024-03-24,Sunday,Dining Out,3,1
txn_0000013,user_0001,DOMINOS #3085,21.21,2024-03-31,Sunday,Dining Out,3,1
txn_0000014,user_0001,CHICK-FIL-A #7888,57.88,2024-04-01,Monday,Dining Out,3,1
txn_0000015,user_0001,OLIVE GARDEN #7211,10.03,2024-04-01,Monday,Dining Out,3,1
txn_0000016,user_0001,OLIVE GARDEN #3851,42.59,2024-04-08,Monday,Dining Out,3,1
txn_0000017,user_0001,PIZZA HUT #5930,53.48,2024-04-12,Friday,Dining Out,3,1
txn_0000018,user_0001,DOORDASH*TAKPUX,9.66,2024-04-23,Tuesday,Dining Out,3,1
txn_0000019,user_0001,UBER EATS*PYS280,25.81,2024-04-24,Wednesday,Dining Out,3,1
txn_0000020,user_0001,OLIVE GARDEN #2389,14.5,2024-04-26,Friday,Dining Out,3,1
txn_0000021,user_0001,SUBWAY #77561,61.87,2024-05-01,Wednesday,Dining Out,3,1
txn_0000022,user_0001,OLIVE GARDEN #6491,16.22,2024-05-07,Tuesday,Dining Out,3,1
txn_0000023,user_0001,STARBUCKS #40784,31.85,2024-05-13,Monday,Dining Out,3,1
