transaction_id,user_id,payee,amount,date,day_of_week,category,family_size,has_children
txn_0000001,user_0001,PUBLIX #9346,149.59,2022-01-13,Thursday,Groceries,3,1
txn_0000002,user_0001,ALDI,147.64,2022-02-05,Saturday,Groceries,3,1
txn_0000003,user_0001,WEGMANS #9785,56.03,2022-04-25,Monday,Groceries,3,1
txn_0000004,user_0001,PUBLIX #1452,141.59,2022-04-27,Wednesday,Groceries,3,1
txn_0000005,user_0001,WHOLE FOODS MKT,90.28,2022-05-23,Monday,Groceries,3,1
txn_0000006,user_0001,SAFEWAY #3925,19.38,2022-05-23,Monday,Groceries,3,1
txn_0000007,user_0001,HEB #5349,1.94,2022-06-18,Saturday,Groceries,3,1
txn_0000008,user_0001,WALMART GROCERY,0.22,2022-12-05,Monday,Groceries,3,1
txn_0000009,user_0001,DOORDASH*ZTGXN0,13.25,2022-02-05,Saturday,Dining Out,3,1
txn_0000010,user_0001,CHIPOTLE #5930,31.45,2022-03-05,Saturday,Dining Out,3,1
txn_0000011,user_0001,DOORDASH*TAKPUX,47.85,2022-04-11,Monday,Dining Out,3,1
txn_0000012,user_0001,UBER EATS*PYS280,24.7,2022-06-03,Friday,Dining Out,3,1
txn_0000013,user_0001,OLIVE GARDEN #2389,41.03,2022-06-08,Wednesday,Dining Out,3,1
txn_0000014,user_0001,SUBWAY #77561,35.74,2022-06-17,Friday,Dining Out,3,1
txn_0000015,user_0001,OLIVE GARDEN #6491,28.69,2022-06-19,Sunday,Dining Out,3,1
txn_0000016,user_0001,STARBUCKS #40784,39.37,2022-07-06,Wednesday,Dining Out,3,1
txn_0000017,user_0001,OLIVE GARDEN #6085,21.41,2022-07-29,Friday,Dining Out,3,1
txn_0000018,user_0001,CHICK-FIL-A #4262,46.75,2022-08-09,Tuesday,Dining Out,3,1
txn_0000019,user_0001,CHIPOTLE #1400,7.29,2022-09-17,Saturday,Dining Out,3,1
txn_0000020,user_0001,MCDONALDS #42092,58.85,2022-12-06,Tuesday,Dining Out,3,1
txn_0000021,user_0001,UBER EATS*W1Q5UZ,33.26,2022-12-07,Wednesday,Dining Out,3,1
txn_0000022,user_0001,DOORDASH*RIXA11,3.33,2022-12-08,Thursday,Dining Out,3,1
txn_0000023,user_0001,STARBUCKS #65724,0.37,2022-12-10,Saturday,Dining Out,3,1
txn_0000024,user_0001,EXXON MOBIL 28572252,39.38,2022-03-23,Wednesday,Transport,3,1
txn_0000025,user_0001,BP #342495,88.55,2022-05-02,Monday,Transport,3,1
txn_0000026,user_0001,SPEEDWAY #3503,79.46,2022-05-03,Tuesday,Transport,3,1
txn_0000027,user_0001,CHEVRON #167348,60.02,2022-05-07,Saturday,Transport,3,1
txn_0000028,user_0001,SPEEDWAY #7678,67.82,2022-05-13,Friday,Transport,3,1
txn_0000029,user_0001,CIRCLE K #81121,98.07,2022-05-21,Saturday,Transport,3,1
txn_0000030,user_0001,VALVOLINE #7812,31.19,2022-05-22,Sunday,Transport,3,1
txn_0000031,user_0001,SHELL OIL 37760841,32.2,2022-05-27,Friday,Transport,3,1
txn_0000032,user_0001,SPEEDWAY #7381,60.03,2022-06-13,Monday,Transport,3,1
txn_0000033,user_0001,SHELL OIL 87267850,65.62,2022-08-15,Monday,Transport,3,1
txn_0000034,user_0001,SPEEDWAY #8814,67.95,2022-08-17,Wednesday,Transport,3,1
txn_0000035,user_0001,SHELL OIL 57212267,47.65,2022-08-19,Friday,Transport,3,1
txn_0000036,user_0001,SUNOCO #890075,84.44,2022-09-01,Thursday,Transport,3,1
txn_0000037,user_0001,SPEEDWAY #7865,58.18,2022-09-06,Tuesday,Transport,3,1
txn_0000038,user_0001,CHEVRON #611945,85.0,2022-09-24,Saturday,Transport,3,1
txn_0000039,user_0001,CHEVRON #386193,8.5,2022-10-08,Saturday,Transport,3,1
txn_0000040,user_0001,SPEEDWAY #8956,0.85,2022-11-17,Thursday,Transport,3,1
txn_0000041,user_0001,SHELL OIL 62191530,0.09,2022-11-23,Wednesday,Transport,3,1
txn_0000042,user_0001,ALLY FINANCIAL,44.0,2022-06-22,Wednesday,Vehicle Payment,3,1
txn_0000043,user_0001,HULU,21.6,2022-02-12,Saturday,Streaming,3,1
txn_0000044,user_0001,PEACOCK TV,24.3,2022-07-21,Thursday,Streaming,3,1
txn_0000045,user_0001,HULU,26.13,2022-08-08,Monday,Streaming,3,1
txn_0000046,user_0001,NETFLIX.COM,16.17,2022-10-16,Sunday,Streaming,3,1
txn_0000047,user_0001,HBO MAX,1.62,2022-10-31,Monday,Streaming,3,1
txn_0000048,user_0001,AMAZON PRIME,0.18,2022-11-26,Saturday,Streaming,3,1
txn_0000049,user_0001,ROSS STORES #5133,65.08,2022-05-23,Monday,Clothing,3,1
txn_0000050,user_0001,TARGET #8705,84.57,2022-06-22,Wednesday,Clothing,3,1
txn_0000051,user_0001,AMAZON.COM*0B8IC8,50.35,2022-07-14,Thursday,Clothing,3,1
txn_0000052,user_0001,LITTLE GYM #576,165.89,2022-02-28,Monday,Childcare,3,1
txn_0000053,user_0001,PRIMROSE SCHOOL,155.37,2022-03-21,Monday,Childcare,3,1
txn_0000054,user_0001,CHILD TIME #271,401.9,2022-08-31,Wednesday,Childcare,3,1
txn_0000055,user_0001,KINDERCARE #896,1076.72,2022-11-15,Tuesday,Childcare,3,1
txn_0000056,user_0001,LA PETITE #418,1200.12,2022-12-09,Friday,Childcare,3,1
txn_0000057,user_0001,TRANSAMERICA,59.24,2022-02-08,Tuesday,Insurance,3,1
txn_0000058,user_0001,METLIFE INS,32.37,2022-02-22,Tuesday,Insurance,3,1
txn_0000059,user_0001,TRANSAMERICA,125.7,2022-04-12,Tuesday,Insurance,3,1
txn_0000060,user_0001,NEW YORK LIFE,244.82,2022-05-05,Thursday,Insurance,3,1
txn_0000061,user_0001,ALLSTATE LIFE,336.36,2022-10-31,Monday,Insurance,3,1
txn_0000062,user_0001,NEW YORK LIFE,153.31,2022-11-18,Friday,Insurance,3,1
